length	corrupt	iteration	seconds
xslt	0	0	1.172052
xslt	0	1	1.433968
xslt	0	2	1.184027
xslt	0	3	1.272433
xslt	0	4	1.394985
xslt	0	5	1.442649
xslt	0	6	0.957462
xslt	0	7	1.631623
xslt	0	8	1.142812
xslt	0	9	1.479457
tan	0	0	3.792507
tan	0	1	3.916395
tan	0	2	4.043334
tan	0	3	4.067833
tan	0	4	4.023079
tan	0	5	4.530822
tan	0	6	4.073652
tan	0	7	4.834744
tan	0	8	4.296075
tan	0	9	4.130125
100	0	0	5.010529
100	0	1	4.928317
100	0	2	4.358726
100	0	3	4.232117
100	0	4	4.474938
100	0	5	4.194813
100	0	6	4.19629
100	0	7	4.486515
100	0	8	4.183004
100	0	9	4.152174
100	1	0	4.381402
100	1	1	4.401675
100	1	2	4.51955
100	1	3	4.39379
100	1	4	4.661804
100	1	5	4.389425
100	1	6	4.428175
100	1	7	5.866984
100	1	8	4.699274
100	1	9	4.390369
100	2	0	4.36514
100	2	1	4.330477
100	2	2	4.30569
100	2	3	4.212959
100	2	4	4.704163
100	2	5	4.231438
100	2	6	4.283968
100	2	7	4.436691
100	2	8	4.165195
100	2	9	4.14933
100	3	0	4.424828
100	3	1	4.230852
100	3	2	4.777327
100	3	3	5.120083
100	3	4	4.253266
100	3	5	4.301324
100	3	6	4.352113
100	3	7	4.536076
100	3	8	4.275662
100	3	9	4.301574
100	4	0	4.29557
100	4	1	4.180887
100	4	2	4.784551
100	4	3	4.23816
100	4	4	4.368131
100	4	5	4.34657
100	4	6	4.151736
100	4	7	4.389648
100	4	8	4.392241
100	4	9	4.119055
100	5	0	4.145689
100	5	1	4.327636
100	5	2	4.337402
100	5	3	4.233021
100	5	4	4.21556
100	5	5	4.357075
100	5	6	4.341969
100	5	7	4.335592
100	5	8	4.598514
100	5	9	4.409323
100	6	0	4.643583
100	6	1	4.15876
100	6	2	4.06031
100	6	3	4.559033
100	6	4	4.151972
100	6	5	4.155478
100	6	6	4.327949
100	6	7	4.433062
100	6	8	4.198529
100	6	9	4.191552
100	7	0	4.285438
100	7	1	4.330159
100	7	2	4.187475
100	7	3	4.330782
100	7	4	4.281455
100	7	5	5.029019
100	7	6	4.727974
100	7	7	4.84467
100	7	8	4.90267
100	7	9	4.675318
100	8	0	4.490778
100	8	1	5.135376
100	8	2	4.429356
100	8	3	4.384453
100	8	4	4.342952
100	8	5	4.459137
100	8	6	4.18963
100	8	7	4.397673
100	8	8	4.405962
100	8	9	4.166294
100	9	0	4.424117
100	9	1	4.339314
100	9	2	4.34077
