length	corrupt	iteration	seconds
xslt	0	0	1.236695
xslt	0	1	1.229448
xslt	0	2	1.295538
xslt	0	3	1.168873
xslt	0	4	1.057924
xslt	0	5	1.137731
xslt	0	6	1.274953
xslt	0	7	1.462995
xslt	0	8	1.153644
xslt	0	9	1.22074
tan	0	0	4.137872
tan	0	1	4.062143
tan	0	2	4.083085
tan	0	3	4.203683
tan	0	4	4.530052
tan	0	5	4.111007
tan	0	6	4.188768
tan	0	7	4.105471
tan	0	8	4.187802
tan	0	9	4.033378
10000	0	0	4.344532
10000	0	1	4.191762
10000	0	2	3.928966
10000	0	3	4.240823
10000	0	4	4.297539
10000	0	5	4.132421
10000	0	6	4.250851
10000	0	7	4.138948
10000	0	8	4.081586
10000	0	9	4.128155
10000	1	0	4.679
10000	1	1	4.500868
10000	1	2	4.546388
10000	1	3	4.736019
10000	1	4	4.282863
10000	1	5	4.607682
10000	1	6	4.65954
10000	1	7	4.598868
10000	1	8	4.735592
10000	1	9	4.497289
10000	2	0	4.728216
10000	2	1	4.751501
10000	2	2	4.990176
10000	2	3	4.695446
10000	2	4	4.805557
10000	2	5	4.687586
10000	2	6	4.925021
10000	2	7	4.645779
10000	2	8	4.935507
10000	2	9	4.701295
10000	3	0	4.904575
10000	3	1	5.084169
10000	3	2	4.774238
10000	3	3	4.714395
10000	3	4	4.797953
10000	3	5	4.944886
10000	3	6	4.976415
10000	3	7	4.727359
10000	3	8	4.934991
10000	3	9	4.800699
10000	4	0	5.068449
10000	4	1	5.619974
10000	4	2	5.779613
10000	4	3	5.212537
10000	4	4	4.949521
10000	4	5	4.837167
10000	4	6	4.698442
10000	4	7	4.880826
10000	4	8	4.755683
10000	4	9	5.007568
10000	5	0	4.949319
10000	5	1	5.193417
10000	5	2	5.069988
10000	5	3	5.137611
10000	5	4	4.970448
10000	5	5	5.068268
10000	5	6	5.174621
10000	5	7	5.089097
10000	5	8	6.414562
10000	5	9	5.607679
10000	6	0	5.039238
10000	6	1	5.147239
10000	6	2	4.857014
10000	6	3	5.212298
10000	6	4	4.954751
10000	6	5	5.208922
10000	6	6	4.833476
10000	6	7	5.066097
10000	6	8	4.954545
10000	6	9	5.270152
10000	7	0	4.988149
10000	7	1	5.14265
10000	7	2	4.857419
10000	7	3	5.224724
10000	7	4	4.928709
10000	7	5	5.134799
10000	7	6	4.951974
10000	7	7	5.233212
10000	7	8	4.983597
10000	7	9	5.100699
10000	8	0	5.133116
10000	8	1	5.252362
10000	8	2	4.867334
10000	8	3	5.378621
10000	8	4	4.921727
10000	8	5	5.28059
10000	8	6	5.086791
10000	8	7	5.148344
10000	8	8	4.935581
10000	8	9	5.133048
10000	9	0	5.232012
10000	9	1	5.29897
10000	9	2	5.070649
10000	9	3	5.238
10000	9	4	4.984674
10000	9	5	5.25499
10000	9	6	5.027465
10000	9	7	5.304706
10000	9	8	5.075135
10000	9	9	5.35417
10000	10	0	5.134214
10000	10	1	5.317789
10000	10	2	5.150228
10000	10	3	5.304924
10000	10	4	5.202579
10000	10	5	5.242179
10000	10	6	5.192935
10000	10	7	5.206407
10000	10	8	5.348843
10000	10	9	5.292225
10000	11	0	5.17376
10000	11	1	5.269606
10000	11	2	5.143363
10000	11	3	5.264165
10000	11	4	5.182039
10000	11	5	5.333994
10000	11	6	5.23702
10000	11	7	5.858986
10000	11	8	5.164689
10000	11	9	5.656876
10000	12	0	5.183142
10000	12	1	5.375485
10000	12	2	5.294258
10000	12	3	5.381039
10000	12	4	5.291738
10000	12	5	5.527361
10000	12	6	5.202111
10000	12	7	6.173495
10000	12	8	6.513584
10000	12	9	5.527947
10000	13	0	5.305739
10000	13	1	5.414624
10000	13	2	5.204454
10000	13	3	5.474548
10000	13	4	5.238225
10000	13	5	5.391583
10000	13	6	5.449126
10000	13	7	5.491754
10000	13	8	5.171718
10000	13	9	5.327021
10000	14	0	5.373012
10000	14	1	5.600154
10000	14	2	5.340469
10000	14	3	5.659991
10000	14	4	5.314319
10000	14	5	5.442887
10000	14	6	5.356415
10000	14	7	5.559298
10000	14	8	5.307392
10000	14	9	5.437172
10000	15	0	5.296432
10000	15	1	5.562175
10000	15	2	5.395733
10000	15	3	5.517485
10000	15	4	5.679814
10000	15	5	6.853679
10000	15	6	6.311161
10000	15	7	5.615407
10000	15	8	5.476283
10000	15	9	5.551265
10000	16	0	5.417484
10000	16	1	5.565232
10000	16	2	5.347484
10000	16	3	5.568368
