length	corrupt	iteration	seconds
xslt	0	0	1.470057
xslt	0	1	0.92654
xslt	0	2	1.1126
xslt	0	3	1.136867
xslt	0	4	1.216912
xslt	0	5	1.255583
xslt	0	6	1.058714
xslt	0	7	1.159183
xslt	0	8	1.19758
xslt	0	9	1.266031
tan	0	0	3.889135
tan	0	1	3.73889
tan	0	2	3.966606
tan	0	3	3.906702
tan	0	4	4.080194
tan	0	5	3.956797
tan	0	6	3.827796
tan	0	7	4.029223
tan	0	8	3.892418
tan	0	9	3.887743
100	0	0	4.069243
100	0	1	4.067427
100	0	2	4.158609
100	0	3	4.13002
100	0	4	3.914318
100	0	5	4.063912
100	0	6	4.135157
100	0	7	4.005196
100	0	8	4.046127
100	0	9	3.983464
100	1	0	4.069908
100	1	1	4.1179
100	1	2	4.076985
100	1	3	4.127123
100	1	4	4.137047
100	1	5	4.04008
100	1	6	4.014357
100	1	7	4.115584
100	1	8	3.998552
100	1	9	4.186994
100	2	0	4.07777
100	2	1	3.97925
100	2	2	4.127183
100	2	3	4.151036
100	2	4	4.100643
100	2	5	4.024211
100	2	6	4.150099
100	2	7	4.157428
100	2	8	4.100819
100	2	9	4.100435
100	3	0	4.100949
100	3	1	4.043517
100	3	2	4.46999
100	3	3	4.875832
100	3	4	4.509286
100	3	5	4.241015
100	3	6	4.070378
100	3	7	4.160279
100	3	8	4.173634
100	3	9	4.18616
100	4	0	4.022972
100	4	1	4.103042
100	4	2	4.135885
100	4	3	3.99787
100	4	4	4.059116
100	4	5	4.171283
100	4	6	4.128242
100	4	7	4.092343
100	4	8	4.132082
100	4	9	4.072066
100	5	0	4.12453
100	5	1	4.189902
100	5	2	4.148992
100	5	3	4.026507
100	5	4	4.079861
100	5	5	4.37704
100	5	6	4.186365
100	5	7	4.077238
100	5	8	4.128666
100	5	9	4.115635
100	6	0	4.029547
100	6	1	3.935897
100	6	2	4.043223
100	6	3	3.996098
100	6	4	4.059442
100	6	5	4.153931
100	6	6	4.10655
100	6	7	4.120881
100	6	8	4.162646
100	6	9	4.18167
100	7	0	4.112863
100	7	1	4.054727
100	7	2	4.100405
100	7	3	4.133506
100	7	4	4.059077
100	7	5	4.157837
100	7	6	4.101353
100	7	7	4.025364
100	7	8	3.938288
100	7	9	4.070563
100	8	0	4.181377
100	8	1	4.038617
100	8	2	4.000547
100	8	3	3.992714
100	8	4	4.006465
100	8	5	4.114427
100	8	6	4.158191
100	8	7	3.997872
100	8	8	4.074653
100	8	9	4.343251
100	9	0	4.067856
100	9	1	4.13219
100	9	2	4.238506
100	9	3	4.213604
100	9	4	4.010727
100	9	5	4.181283
100	9	6	4.183298
100	9	7	4.074697
100	9	8	4.090018
100	9	9	4.062633
100	10	0	4.115215
100	10	1	4.024356
100	10	2	4.047981
100	10	3	4.018485
100	10	4	4.26827
100	10	5	4.171081
100	10	6	4.074196
100	10	7	4.114786
100	10	8	4.051105
100	10	9	4.130364
100	11	0	4.25526
100	11	1	4.01269
100	11	2	4.191147
100	11	3	4.235865
100	11	4	4.145176
100	11	5	4.160908
100	11	6	4.100069
100	11	7	4.151305
100	11	8	4.112454
100	11	9	4.077039
100	12	0	4.129251
100	12	1	4.077833
100	12	2	4.155133
100	12	3	4.167257
100	12	4	4.256899
100	12	5	4.094104
100	12	6	4.309503
100	12	7	4.151141
100	12	8	4.217779
100	12	9	4.132239
100	13	0	3.938712
100	13	1	4.13912
100	13	2	4.307832
100	13	3	4.091688
100	13	4	4.188344
100	13	5	4.327125
100	13	6	4.186561
100	13	7	4.052001
100	13	8	4.17007
100	13	9	4.523883
100	14	0	4.094285
100	14	1	4.233311
100	14	2	4.0962
100	14	3	4.052601
100	14	4	4.142245
100	14	5	4.15254
100	14	6	4.065627
100	14	7	4.042852
100	14	8	4.123072
100	14	9	4.039781
100	15	0	4.178485
100	15	1	4.152557
100	15	2	4.091673
100	15	3	4.121602
100	15	4	4.14606
100	15	5	3.956457
100	15	6	4.041848
100	15	7	4.130456
100	15	8	4.030233
100	15	9	4.101127
100	16	0	4.09987
100	16	1	4.288542
100	16	2	4.135495
100	16	3	4.127124
100	16	4	4.06871
100	16	5	4.142656
100	16	6	4.410394
100	16	7	4.284405
100	16	8	4.2682
100	16	9	4.120547
100	17	0	4.177034
100	17	1	4.1057
100	17	2	4.060017
100	17	3	4.160923
100	17	4	4.229724
100	17	5	4.221401
100	17	6	4.078824
100	17	7	4.711007
100	17	8	4.968209
100	17	9	4.218792
100	18	0	4.113142
100	18	1	4.040772
100	18	2	4.097141
100	18	3	4.210367
100	18	4	4.098501
100	18	5	4.099853
