length	corrupt	iteration	seconds
xslt	0	0	1.365327
tan	0	0	5.299389
1000000	0	0	5.927602
1000000	1	0	16.371465
1000000	2	0	19.329457
1000000	3	0	24.151972
1000000	4	0	24.288777
1000000	5	0	25.487532
1000000	6	0	27.257034
1000000	7	0	30.924342
1000000	8	0	33.266161
1000000	9	0	35.207559
1000000	10	0	37.286683
1000000	11	0	40.791566
1000000	12	0	42.885589
1000000	13	0	47.839176
1000000	14	0	48.918504
1000000	15	0	50.275613
1000000	16	0	53.86649
1000000	17	0	58.290787
1000000	18	0	55.080576
1000000	19	0	59.820239
1000000	20	0	59.227622
1000000	21	0	60.187454
1000000	22	0	64.096842
1000000	23	0	66.039193
1000000	24	0	70.525581
1000000	25	0	68.100256
1000000	26	0	71.710606
1000000	27	0	73.493888
1000000	28	0	74.562008
1000000	29	0	73.258076
1000000	30	0	76.621246
1000000	31	0	76.2349
1000000	32	0	78.49467
1000000	33	0	83.539478
1000000	34	0	81.103523
1000000	35	0	83.403086
1000000	36	0	83.802904
1000000	37	0	83.500176
1000000	38	0	87.42506
1000000	39	0	87.561833
1000000	40	0	87.247214
1000000	41	0	91.092833
1000000	42	0	92.329246
1000000	43	0	91.987332
1000000	44	0	91.767055
1000000	45	0	93.128885
1000000	46	0	93.354233
1000000	47	0	97.577591
1000000	48	0	101.828562
1000000	49	0	100.259571
1000000	50	0	102.676592
1000000	51	0	100.071284
1000000	52	0	100.627834
1000000	53	0	104.338111
1000000	54	0	102.58528
1000000	55	0	101.091144
1000000	56	0	102.902089
1000000	57	0	104.248526
1000000	58	0	105.048616
1000000	59	0	103.755347
1000000	60	0	104.603205
1000000	61	0	105.868818
1000000	62	0	106.198756
1000000	63	0	103.10964
1000000	64	0	105.169362
1000000	65	0	104.247877
1000000	66	0	104.600578
1000000	67	0	101.556296
1000000	68	0	100.34266
1000000	69	0	97.986093
1000000	70	0	100.754034
1000000	71	0	100.217494
1000000	72	0	101.142505
1000000	73	0	98.579399
1000000	74	0	98.220153
1000000	75	0	95.618265
1000000	76	0	96.377723
1000000	77	0	95.210227
1000000	78	0	94.949597
1000000	79	0	92.063968
1000000	80	0	91.403278
1000000	81	0	91.662883
1000000	82	0	88.670556
1000000	83	0	91.532743
1000000	84	0	93.342423
1000000	85	0	85.273859
1000000	86	0	81.908192
1000000	87	0	79.696683
1000000	88	0	78.430445
1000000	89	0	80.318486
1000000	90	0	79.961778
1000000	91	0	76.645955
1000000	92	0	73.701278
1000000	93	0	74.805065
1000000	94	0	67.543861
1000000	95	0	682.701468
