length	corrupt	iteration	seconds
xslt	0	0	0.955762
xslt	0	1	0.929128
xslt	0	2	1.275588
xslt	0	3	1.117901
xslt	0	4	1.131688
xslt	0	5	0.90002
xslt	0	6	1.111737
xslt	0	7	1.070656
xslt	0	8	1.119715
xslt	0	9	1.115584
tan	0	0	4.035095
tan	0	1	3.835266
tan	0	2	3.792922
tan	0	3	3.833334
tan	0	4	3.911563
tan	0	5	3.997613
tan	0	6	4.266726
tan	0	7	3.970869
tan	0	8	4.139004
tan	0	9	4.07081
100000	0	0	4.028434
100000	0	1	4.048434
100000	0	2	4.851027
100000	0	3	4.110666
100000	0	4	4.246136
100000	0	5	4.147813
100000	0	6	4.060951
100000	0	7	4.613666
100000	0	8	4.673501
100000	0	9	4.465835
100000	1	0	6.258386
100000	1	1	6.438083
100000	1	2	6.362732
100000	1	3	7.101398
100000	1	4	7.46903
100000	1	5	7.132997
100000	1	6	6.351572
100000	1	7	6.335743
100000	1	8	6.157531
100000	1	9	6.464638
100000	2	0	7.668522
100000	2	1	7.275349
100000	2	2	7.4192
100000	2	3	8.237246
100000	2	4	7.087371
100000	2	5	7.159579
100000	2	6	7.028471
100000	2	7	7.000641
100000	2	8	6.888777
100000	2	9	6.891825
100000	3	0	8.52719
100000	3	1	8.74876
100000	3	2	8.467359
100000	3	3	8.546152
100000	3	4	8.734647
100000	3	5	8.481517
100000	3	6	7.483424
100000	3	7	7.631469
100000	3	8	7.570463
100000	3	9	7.386473
100000	4	0	8.085115
100000	4	1	7.672777
100000	4	2	7.74131
100000	4	3	7.648423
100000	4	4	7.620316
100000	4	5	7.873608
100000	4	6	7.978767
100000	4	7	7.811817
100000	4	8	7.96694
100000	4	9	7.680203
100000	5	0	8.23704
100000	5	1	8.197582
100000	5	2	8.183456
100000	5	3	8.318026
100000	5	4	8.457541
100000	5	5	8.37809
100000	5	6	8.379278
100000	5	7	8.472161
100000	5	8	8.6988
100000	5	9	8.527608
100000	6	0	8.498036
100000	6	1	8.553977
100000	6	2	8.465064
100000	6	3	8.345363
100000	6	4	8.51067
100000	6	5	8.620403
100000	6	6	8.307549
100000	6	7	9.329484
100000	6	8	9.274238
100000	6	9	8.745033
100000	7	0	8.845611
100000	7	1	8.988153
100000	7	2	8.902523
100000	7	3	8.921723
100000	7	4	8.90664
100000	7	5	9.03779
100000	7	6	8.872036
100000	7	7	8.751539
100000	7	8	8.658934
100000	7	9	8.816909
100000	8	0	8.922853
100000	8	1	8.938693
100000	8	2	8.916752
100000	8	3	9.569254
100000	8	4	9.13368
100000	8	5	9.175887
100000	8	6	9.302921
100000	8	7	10.439349
100000	8	8	10.350769
100000	8	9	8.919776
100000	9	0	9.273442
100000	9	1	9.298745
100000	9	2	9.102173
100000	9	3	9.231679
100000	9	4	9.232076
100000	9	5	9.292366
100000	9	6	9.185696
100000	9	7	9.07133
100000	9	8	9.236009
100000	9	9	9.439839
100000	10	0	12.198383
100000	10	1	9.647593
100000	10	2	9.36582
100000	10	3	9.672824
100000	10	4	9.478075
100000	10	5	9.387756
100000	10	6	10.981216
100000	10	7	9.643722
100000	10	8	9.945641
100000	10	9	9.352123
100000	11	0	9.842855
100000	11	1	9.595604
100000	11	2	9.795311
100000	11	3	9.725849
100000	11	4	9.853678
100000	11	5	9.713968
100000	11	6	9.490644
100000	11	7	9.847651
100000	11	8	9.595125
100000	11	9	9.567668
100000	12	0	10.066421
100000	12	1	10.058106
100000	12	2	9.956035
100000	12	3	9.922349
100000	12	4	9.991403
100000	12	5	9.97144
100000	12	6	9.936223
100000	12	7	10.084689
100000	12	8	10.046914
100000	12	9	9.964646
100000	13	0	10.253456
100000	13	1	9.976693
100000	13	2	10.204634
100000	13	3	10.181462
100000	13	4	10.005075
100000	13	5	10.22154
100000	13	6	10.082636
100000	13	7	10.218251
100000	13	8	10.059248
100000	13	9	10.096439
100000	14	0	10.343168
100000	14	1	10.247686
100000	14	2	10.391946
100000	14	3	11.992045
100000	14	4	10.412891
100000	14	5	10.075018
100000	14	6	10.048917
100000	14	7	10.214855
100000	14	8	11.948833
100000	14	9	10.487378
100000	15	0	10.538424
100000	15	1	10.507237
100000	15	2	10.361473
100000	15	3	10.634058
100000	15	4	10.730352
100000	15	5	10.520877
100000	15	6	10.506945
100000	15	7	10.629268
100000	15	8	11.00405
100000	15	9	10.470849
100000	16	0	10.757668
100000	16	1	10.910955
100000	16	2	10.667032
100000	16	3	10.348776
100000	16	4	10.538103
100000	16	5	10.591693
100000	16	6	10.398002
100000	16	7	10.742136
100000	16	8	10.96689
100000	16	9	11.58774
100000	17	0	12.863946
100000	17	1	10.984652
100000	17	2	10.828302
100000	17	3	11.208219
100000	17	4	10.97746
100000	17	5	10.879112
100000	17	6	12.244596
100000	17	7	11.305157
100000	17	8	10.935141
100000	17	9	11.213012
100000	18	0	11.114778
100000	18	1	10.868286
100000	18	2	11.019851
100000	18	3	11.015824
100000	18	4	11.089675
100000	18	5	10.925322
100000	18	6	11.010097
100000	18	7	11.220675
100000	18	8	11.164382
100000	18	9	11.145248
100000	19	0	11.315054
100000	19	1	11.278144
100000	19	2	11.23544
100000	19	3	11.267982
100000	19	4	11.276507
100000	19	5	11.365505
100000	19	6	11.518676
100000	19	7	11.205079
100000	19	8	12.350166
100000	19	9	11.675834
100000	20	0	12.052841
100000	20	1	11.828238
100000	20	2	11.767658
100000	20	3	13.481217
100000	20	4	12.193147
100000	20	5	13.086422
100000	20	6	12.233578
100000	20	7	12.54281
100000	20	8	13.390143
100000	20	9	11.786573
100000	21	0	11.583164
100000	21	1	11.994278
100000	21	2	12.116607
100000	21	3	12.460985
100000	21	4	11.966117
100000	21	5	11.960518
100000	21	6	12.078139
100000	21	7	11.939125
100000	21	8	12.221356
100000	21	9	11.961973
100000	22	0	12.351082
100000	22	1	12.242484
100000	22	2	12.425144
100000	22	3	12.698135
100000	22	4	12.262281
100000	22	5	12.248476
100000	22	6	11.948118
100000	22	7	12.110952
100000	22	8	12.487529
100000	22	9	12.027804
100000	23	0	12.456228
100000	23	1	12.205803
100000	23	2	12.158392
100000	23	3	12.052248
100000	23	4	12.533233
100000	23	5	12.517103
100000	23	6	12.349008
100000	23	7	14.92835
100000	23	8	13.869244
100000	23	9	12.907317
100000	24	0	12.768728
100000	24	1	12.472287
100000	24	2	12.343789
100000	24	3	12.451728
100000	24	4	12.418413
100000	24	5	12.272134
100000	24	6	12.871097
100000	24	7	12.821389
100000	24	8	12.621426
100000	24	9	12.436958
100000	25	0	12.903498
100000	25	1	12.721509
100000	25	2	14.525044
100000	25	3	12.611248
100000	25	4	12.73559
100000	25	5	12.804628
100000	25	6	12.894103
100000	25	7	13.037074
100000	25	8	12.963371
100000	25	9	13.051158
100000	26	0	12.613691
100000	26	1	12.650305
100000	26	2	12.660421
100000	26	3	12.480088
100000	26	4	12.910881
100000	26	5	13.833068
100000	26	6	12.764697
100000	26	7	12.614123
100000	26	8	12.5642
100000	26	9	12.492866
100000	27	0	13.083682
100000	27	1	12.777169
100000	27	2	12.984712
100000	27	3	12.593893
100000	27	4	12.572275
100000	27	5	12.627893
100000	27	6	12.745762
100000	27	7	12.720621
100000	27	8	12.908635
100000	27	9	12.477075
100000	28	0	13.457628
100000	28	1	13.260355
100000	28	2	13.453986
100000	28	3	12.965225
100000	28	4	12.76526
100000	28	5	13.250219
