length	corrupt	iteration	seconds
10000	21	1	6.091953
10000	21	2	5.708127
10000	21	3	5.824422
10000	21	4	5.749282
10000	21	5	5.888932
10000	21	6	5.671763
10000	21	7	5.888975
10000	21	8	5.633921
10000	21	9	6.01331
10000	22	0	5.772066
10000	22	1	6.088537
10000	22	2	5.857438
10000	22	3	5.983858
10000	22	4	5.857029
10000	22	5	5.820581
10000	22	6	5.722399
10000	22	7	6.234325
10000	22	8	7.357323
10000	22	9	7.640567
10000	23	0	6.394117
10000	23	1	5.814889
10000	23	2	5.871501
10000	23	3	5.918172
10000	23	4	5.987322
10000	23	5	5.981181
10000	23	6	5.796647
10000	23	7	6.046518
10000	23	8	5.676782
10000	23	9	6.035481
10000	24	0	5.86432
10000	24	1	5.959062
10000	24	2	5.862708
10000	24	3	6.043903
10000	24	4	5.917838
10000	24	5	5.995823
10000	24	6	5.851971
10000	24	7	6.197017
10000	24	8	5.918522
10000	24	9	6.018075
10000	25	0	5.937305
10000	25	1	6.081111
10000	25	2	5.781033
10000	25	3	6.047202
10000	25	4	5.997237
10000	25	5	5.979428
10000	25	6	5.972885
10000	25	7	6.064506
10000	25	8	6.016393
10000	25	9	6.074418
10000	26	0	5.96508
10000	26	1	6.163551
10000	26	2	6.068692
10000	26	3	6.284314
10000	26	4	6.703567
10000	26	5	6.025817
10000	26	6	6.024907
10000	26	7	6.094598
10000	26	8	5.939892
10000	26	9	6.167229
10000	27	0	5.869255
10000	27	1	6.207135
10000	27	2	5.985058
10000	27	3	6.192042
10000	27	4	6.059018
10000	27	5	5.991748
10000	27	6	5.772989
10000	27	7	6.098568
10000	27	8	6.041458
10000	27	9	6.047423
10000	28	0	6.056882
10000	28	1	6.116561
10000	28	2	5.951009
10000	28	3	6.163327
10000	28	4	6.063177
10000	28	5	6.145135
10000	28	6	5.864089
10000	28	7	6.042537
10000	28	8	6.097495
10000	28	9	6.089807
10000	29	0	5.846089
10000	29	1	6.107942
10000	29	2	5.897495
10000	29	3	6.147062
10000	29	4	5.865678
10000	29	5	6.138854
10000	29	6	5.935445
10000	29	7	6.261509
10000	29	8	5.947064
10000	29	9	6.173488
10000	30	0	6.04184
10000	30	1	6.358122
10000	30	2	6.396268
10000	30	3	6.151045
10000	30	4	5.991086
10000	30	5	6.335655
10000	30	6	6.091412
10000	30	7	6.208785
10000	30	8	5.929542
10000	30	9	6.222222
10000	31	0	5.877549
10000	31	1	6.129568
10000	31	2	6.072075
10000	31	3	6.074121
10000	31	4	6.02904
10000	31	5	6.133062
10000	31	6	6.0947
10000	31	7	6.280204
10000	31	8	6.028005
10000	31	9	6.216936
10000	32	0	6.110642
10000	32	1	6.136585
10000	32	2	6.135357
10000	32	3	6.327464
10000	32	4	6.11434
10000	32	5	6.364394
10000	32	6	6.610487
10000	32	7	7.069093
10000	32	8	7.299334
10000	32	9	6.305138
10000	33	0	6.293745
10000	33	1	6.455855
10000	33	2	6.257119
10000	33	3	6.341795
10000	33	4	6.191667
10000	33	5	6.271624
10000	33	6	6.321289
10000	33	7	7.759858
10000	33	8	6.251033
10000	33	9	6.178712
10000	34	0	6.161428
10000	34	1	6.190451
10000	34	2	6.131798
10000	34	3	6.118357
10000	34	4	6.186358
10000	34	5	6.247433
10000	34	6	6.210819
10000	34	7	6.405869
10000	34	8	6.342071
10000	34	9	6.34921
10000	35	0	6.368921
10000	35	1	6.411396
10000	35	2	6.13694
10000	35	3	6.103913
10000	35	4	5.995734
10000	35	5	6.300333
10000	35	6	6.138612
10000	35	7	6.237974
10000	35	8	6.037295
10000	35	9	6.243009
10000	36	0	6.354214
10000	36	1	6.168043
10000	36	2	6.130454
10000	36	3	6.180562
10000	36	4	6.099177
10000	36	5	6.288186
10000	36	6	6.216789
10000	36	7	6.343768
10000	36	8	6.043521
10000	36	9	6.223082
10000	37	0	6.010729
10000	37	1	6.170836
10000	37	2	6.095219
10000	37	3	6.331239
10000	37	4	6.108991
10000	37	5	6.250926
10000	37	6	5.989962
10000	37	7	6.355401
10000	37	8	7.083159
10000	37	9	6.175601
10000	38	0	6.493718
10000	38	1	6.165764
10000	38	2	6.17515
10000	38	3	6.108612
10000	38	4	6.295402
10000	38	5	6.291396
10000	38	6	6.318575
10000	38	7	6.097169
10000	38	8	6.257817
10000	38	9	6.291144
10000	39	0	6.252607
10000	39	1	6.125348
10000	39	2	6.358687
10000	39	3	6.25684
10000	39	4	6.159474
10000	39	5	6.266965
10000	39	6	6.301716
10000	39	7	6.01894
10000	39	8	6.300387
10000	39	9	6.181028
10000	40	0	6.350302
10000	40	1	6.352013
10000	40	2	6.173125
10000	40	3	6.108591
10000	40	4	6.36354
10000	40	5	6.245539
10000	40	6	6.540854
10000	40	7	6.39111
10000	40	8	6.505217
10000	40	9	6.126669
10000	41	0	6.303643
10000	41	1	6.328073
10000	41	2	6.467903
10000	41	3	6.141603
10000	41	4	6.318797
10000	41	5	6.429275
10000	41	6	6.258178
10000	41	7	6.20945
10000	41	8	6.455241
10000	41	9	6.239829
10000	42	0	6.50163
10000	42	1	6.127819
10000	42	2	6.348657
10000	42	3	7.402202
10000	42	4	7.105502
10000	42	5	6.403814
10000	42	6	6.430265
10000	42	7	6.270465
10000	42	8	6.545061
10000	42	9	6.156182
10000	43	0	6.429457
10000	43	1	6.355095
10000	43	2	6.456574
10000	43	3	6.285615
10000	43	4	6.39177
10000	43	5	6.252206
10000	43	6	6.269575
10000	43	7	6.382932
10000	43	8	6.331175
10000	43	9	6.350271
10000	44	0	6.198817
10000	44	1	6.204468
10000	44	2	6.785539
10000	44	3	7.471581
10000	44	4	6.455106
10000	44	5	6.326472
10000	44	6	6.359199
10000	44	7	6.407092
10000	44	8	6.472096
10000	44	9	6.339943
10000	45	0	6.685562
10000	45	1	6.15326
10000	45	2	6.485925
10000	45	3	6.235832
10000	45	4	6.403766
10000	45	5	6.560042
10000	45	6	6.457442
10000	45	7	6.345697
10000	45	8	6.320811
10000	45	9	6.234442
10000	46	0	6.383623
10000	46	1	6.33965
10000	46	2	6.333234
10000	46	3	6.264265
10000	46	4	6.554156
10000	46	5	6.315027
10000	46	6	6.463341
10000	46	7	6.63842
10000	46	8	6.539159
10000	46	9	6.394949
10000	47	0	6.551242
10000	47	1	6.506677
10000	47	2	6.331767
10000	47	3	6.413448
10000	47	4	6.459268
10000	47	5	6.425945
10000	47	6	6.425238
10000	47	7	6.330667
10000	47	8	6.454442
10000	47	9	6.380072
10000	48	0	6.443542
10000	48	1	6.503201
10000	48	2	6.55447
10000	48	3	6.614574
10000	48	4	6.450393
10000	48	5	6.502134
10000	48	6	6.373299
10000	48	7	6.363856
10000	48	8	6.459492
10000	48	9	6.469693
10000	49	0	6.386056
10000	49	1	6.553616
10000	49	2	6.335792
10000	49	3	6.423701
10000	49	4	6.543833
10000	49	5	6.514036
10000	49	6	6.558517
10000	49	7	6.573932
10000	49	8	6.348069
10000	49	9	7.209877
10000	50	0	6.845519
10000	50	1	7.445224
10000	50	2	7.094979
10000	50	3	7.161228
10000	50	4	6.756651
10000	50	5	6.464254
10000	50	6	6.516967
10000	50	7	7.450814
10000	50	8	6.879775
10000	50	9	6.554297
10000	51	0	6.165706
10000	51	1	6.660201
10000	51	2	6.859209
10000	51	3	7.477001
10000	51	4	7.365733
10000	51	5	7.815097
10000	51	6	6.586725
10000	51	7	6.497933
10000	51	8	6.825449
10000	51	9	7.015235
10000	52	0	6.533251
10000	52	1	6.698311
10000	52	2	6.512283
10000	52	3	6.541583
10000	52	4	6.555327
10000	52	5	6.718721
10000	52	6	6.984243
10000	52	7	7.27649
10000	52	8	7.830127
10000	52	9	6.481719
10000	53	0	6.907805
10000	53	1	6.684495
10000	53	2	6.924718
10000	53	3	6.858709
10000	53	4	6.533449
10000	53	5	6.78009
10000	53	6	6.332388
10000	53	7	6.521563
10000	53	8	6.64827
10000	53	9	9.195393
10000	54	0	7.422647
10000	54	1	6.674251
10000	54	2	6.492448
10000	54	3	7.219299
10000	54	4	7.044853
10000	54	5	6.573039
10000	54	6	6.630718
10000	54	7	6.640165
10000	54	8	7.080803
10000	54	9	6.517103
10000	55	0	6.583779
10000	55	1	6.413847
10000	55	2	6.802375
10000	55	3	6.595117
10000	55	4	6.5871
10000	55	5	6.549805
10000	55	6	6.487195
10000	55	7	6.467701
10000	55	8	6.561634
10000	55	9	6.367966
10000	56	0	6.570385
10000	56	1	6.499712
10000	56	2	6.512369
10000	56	3	6.320324
10000	56	4	6.841346
10000	56	5	6.448593
10000	56	6	6.543617
10000	56	7	6.681992
10000	56	8	6.353507
10000	56	9	6.289527
10000	57	0	6.581391
10000	57	1	6.406644
10000	57	2	6.554198
10000	57	3	6.533785
10000	57	4	6.321223
10000	57	5	6.700439
10000	57	6	6.600535
10000	57	7	6.391587
10000	57	8	6.490199
10000	57	9	6.499413
10000	58	0	6.430216
10000	58	1	6.855311
10000	58	2	6.569425
10000	58	3	6.490659
10000	58	4	6.443511
10000	58	5	6.48701
10000	58	6	6.416727
10000	58	7	6.56225
10000	58	8	6.641285
10000	58	9	6.491436
10000	59	0	6.463005
10000	59	1	6.590885
10000	59	2	6.374037
10000	59	3	6.496663
10000	59	4	6.612452
10000	59	5	6.470543
10000	59	6	6.448953
10000	59	7	6.639241
10000	59	8	6.436819
10000	59	9	6.582384
10000	60	0	6.490425
10000	60	1	6.630675
10000	60	2	6.896212
10000	60	3	6.747373
10000	60	4	7.155805
10000	60	5	7.991372
10000	60	6	6.998722
10000	60	7	6.564799
10000	60	8	6.585186
10000	60	9	6.500258
10000	61	0	6.461539
10000	61	1	6.668166
10000	61	2	6.97734
10000	61	3	6.478164
10000	61	4	6.532096
10000	61	5	6.360269
10000	61	6	6.671693
10000	61	7	6.423461
10000	61	8	6.544005
10000	61	9	6.573936
10000	62	0	6.780984
10000	62	1	6.420202
10000	62	2	6.453438
10000	62	3	6.524908
10000	62	4	6.566133
10000	62	5	6.398141
10000	62	6	6.565976
10000	62	7	6.516008
10000	62	8	6.551334
10000	62	9	6.697875
10000	63	0	6.59764
10000	63	1	6.415072
10000	63	2	6.639485
10000	63	3	6.436882
10000	63	4	6.589136
10000	63	5	6.504533
10000	63	6	8.409516
10000	63	7	7.15154
10000	63	8	6.991839
10000	63	9	6.753738
10000	64	0	6.573959
10000	64	1	6.746666
10000	64	2	6.694642
10000	64	3	6.580585
10000	64	4	6.471968
10000	64	5	6.715532
10000	64	6	6.744528
10000	64	7	6.53589
10000	64	8	6.675694
10000	64	9	6.393586
10000	65	0	6.428963
10000	65	1	6.80201
10000	65	2	6.652181
10000	65	3	6.662592
10000	65	4	6.779485
10000	65	5	6.602652
10000	65	6	6.715152
10000	65	7	6.642354
10000	65	8	7.031019
10000	65	9	7.050126
10000	66	0	6.688787
10000	66	1	7.29795
10000	66	2	6.614252
10000	66	3	6.548392
10000	66	4	6.689218
10000	66	5	6.709967
10000	66	6	6.641818
10000	66	7	6.539345
10000	66	8	6.605358
10000	66	9	6.729514
