length	corrupt	iteration	seconds
xslt	0	0	0.997538
xslt	0	1	0.895114
xslt	0	2	1.037543
xslt	0	3	1.174859
xslt	0	4	0.984547
xslt	0	5	1.190826
xslt	0	6	1.160101
xslt	0	7	1.485308
xslt	0	8	1.070358
xslt	0	9	1.22847
tan	0	0	4.710245
tan	0	1	4.042285
tan	0	2	4.251029
tan	0	3	4.240497
tan	0	4	4.067942
tan	0	5	4.786369
tan	0	6	5.848431
tan	0	7	4.581206
tan	0	8	4.303277
tan	0	9	4.286596
1000	0	0	4.486392
1000	0	1	4.144606
1000	0	2	5.71922
1000	0	3	5.149801
1000	0	4	4.701369
1000	0	5	4.434336
1000	0	6	4.141314
1000	0	7	4.148954
1000	0	8	4.312089
1000	0	9	4.218741
1000	1	0	4.137487
1000	1	1	4.259668
1000	1	2	4.25322
1000	1	3	4.294448
1000	1	4	4.219144
1000	1	5	4.102405
1000	1	6	4.27451
1000	1	7	4.321769
1000	1	8	4.23829
1000	1	9	4.284147
1000	2	0	4.348159
1000	2	1	4.217306
1000	2	2	4.24063
1000	2	3	4.570161
1000	2	4	4.13386
1000	2	5	4.223081
1000	2	6	4.401714
1000	2	7	4.25327
1000	2	8	4.450182
1000	2	9	4.315355
1000	3	0	4.322879
1000	3	1	4.318739
1000	3	2	4.349455
1000	3	3	4.335494
1000	3	4	4.430924
1000	3	5	4.482709
1000	3	6	4.221649
1000	3	7	4.449192
1000	3	8	4.515587
1000	3	9	4.941511
1000	4	0	4.944324
1000	4	1	4.594324
1000	4	2	4.354465
1000	4	3	4.563374
1000	4	4	4.501885
1000	4	5	4.321891
1000	4	6	4.657736
1000	4	7	4.377172
1000	4	8	4.338814
1000	4	9	4.390568
1000	5	0	4.462275
1000	5	1	4.552354
1000	5	2	5.286873
1000	5	3	4.390862
1000	5	4	4.335217
1000	5	5	4.637924
1000	5	6	4.622983
1000	5	7	4.401091
1000	5	8	4.505789
1000	5	9	4.444718
1000	6	0	4.368396
1000	6	1	4.475737
1000	6	2	4.70159
1000	6	3	4.381088
1000	6	4	4.613823
1000	6	5	4.494744
1000	6	6	4.407693
1000	6	7	4.513685
1000	6	8	4.668314
1000	6	9	4.44795
1000	7	0	4.573617
