length	corrupt	iteration	seconds
xslt	0	0	1.087792
xslt	0	1	1.233461
xslt	0	2	1.269357
xslt	0	3	1.314718
xslt	0	4	1.337164
xslt	0	5	1.271661
xslt	0	6	0.9983
xslt	0	7	1.189253
xslt	0	8	1.402669
xslt	0	9	1.332167
tan	0	0	3.792507
tan	0	1	3.916395
tan	0	2	4.043334
tan	0	3	4.067833
tan	0	4	4.023079
tan	0	5	4.530822
tan	0	6	4.073652
tan	0	7	4.834744
tan	0	8	4.296075
tan	0	9	4.130125
1000	0	0	4.226079
1000	0	1	4.771869
1000	0	2	1.065136
1000	0	3	3.898305
1000	0	4	4.287697
1000	0	5	4.38198
1000	0	6	4.215228
1000	0	7	4.303653
1000	0	8	4.517325
1000	0	9	4.518178
1000	1	0	4.849485
1000	1	1	4.634241
1000	1	2	4.697071
1000	1	3	5.106732
1000	1	4	4.521588
1000	1	5	4.476156
1000	1	6	4.708527
1000	1	7	4.157009
1000	1	8	4.687609
1000	1	9	4.558528
1000	2	0	4.320724
1000	2	1	4.456597
1000	2	2	4.604744
1000	2	3	4.513887
1000	2	4	4.863296
1000	2	5	4.141028
1000	2	6	4.329595
1000	2	7	4.579733
1000	2	8	4.040492
1000	2	9	4.348523
1000	3	0	5.51777
1000	3	1	4.482347
1000	3	2	4.975603
1000	3	3	4.586027
1000	3	4	4.437269
1000	3	5	4.663353
1000	3	6	4.747445
1000	3	7	4.589635
1000	3	8	4.796087
1000	3	9	4.180648
1000	4	0	4.44355
1000	4	1	4.341222
1000	4	2	4.197317
1000	4	3	4.485692
1000	4	4	4.218288
1000	4	5	4.446931
1000	4	6	4.634809
1000	4	7	4.706222
1000	4	8	4.187977
1000	4	9	4.336226
1000	5	0	4.576842
1000	5	1	4.323745
1000	5	2	4.791274
1000	5	3	4.429361
1000	5	4	4.77513
1000	5	5	4.648876
1000	5	6	4.36425
1000	5	7	4.228694
1000	5	8	4.337794
1000	5	9	4.762276
1000	6	0	4.321736
1000	6	1	4.419992
1000	6	2	5.433713
1000	6	3	5.283974
1000	6	4	4.500257
1000	6	5	4.516436
1000	6	6	4.412989
1000	6	7	4.369706
1000	6	8	4.288366
1000	6	9	4.774063
1000	7	0	5.031996
1000	7	1	4.257693
1000	7	2	5.256313
1000	7	3	4.818914
1000	7	4	4.691348
1000	7	5	4.987411
1000	7	6	4.951594
1000	7	7	5.842041
1000	7	8	4.755096
1000	7	9	4.973834
1000	8	0	4.624093
1000	8	1	5.395087
1000	8	2	4.781221
1000	8	3	4.708533
1000	8	4	4.61362
1000	8	5	4.682919
1000	8	6	4.488651
1000	8	7	4.762209
1000	8	8	4.579492
1000	8	9	4.566169
1000	9	0	4.766233
1000	9	1	5.119263
1000	9	2	4.796042
1000	9	3	5.16846
1000	9	4	5.55474
1000	9	5	5.487077
1000	9	6	4.963794
1000	9	7	4.623228
1000	9	8	5.010764
1000	9	9	4.787901
1000	10	0	4.686651
1000	10	1	4.501504
1000	10	2	4.466629
1000	10	3	4.976271
1000	10	4	4.301529
1000	10	5	4.663328
1000	10	6	4.569728
1000	10	7	4.464025
1000	10	8	4.626762
1000	10	9	4.665151
1000	11	0	4.644184
1000	11	1	4.642755
1000	11	2	4.76696
1000	11	3	4.840668
1000	11	4	4.899168
1000	11	5	4.865118
1000	11	6	4.652996
1000	11	7	4.566789
1000	11	8	4.68785
1000	11	9	4.606089
1000	12	0	4.880258
1000	12	1	4.735735
1000	12	2	4.891087
1000	12	3	4.608275
1000	12	4	4.771791
1000	12	5	5.033021
1000	12	6	4.718774
1000	12	7	4.630419
1000	12	8	4.810952
1000	12	9	4.657511
1000	13	0	4.977084
1000	13	1	4.559352
1000	13	2	4.659688
1000	13	3	4.746723
1000	13	4	4.6252
1000	13	5	4.760393
1000	13	6	4.794807
1000	13	7	5.260895
1000	13	8	6.271749
1000	13	9	4.619594
1000	14	0	5.011378
1000	14	1	4.725172
1000	14	2	4.951408
1000	14	3	4.981623
1000	14	4	4.996947
1000	14	5	4.738232
1000	14	6	5.032623
1000	14	7	4.700488
1000	14	8	4.953962
1000	14	9	4.93544
1000	15	0	4.825364
1000	15	1	4.935964
1000	15	2	4.671108
1000	15	3	4.732941
1000	15	4	4.717839
1000	15	5	4.734789
1000	15	6	4.909415
1000	15	7	4.678081
1000	15	8	4.850357
1000	15	9	4.613352
1000	16	0	4.607312
1000	16	1	4.903714
1000	16	2	4.848766
1000	16	3	4.719196
1000	16	4	5.10289
1000	16	5	4.756156
1000	16	6	4.989179
1000	16	7	4.825481
1000	16	8	4.962655
1000	16	9	4.78598
1000	17	0	4.703415
1000	17	1	5.121345
1000	17	2	4.689686
1000	17	3	5.050403
1000	17	4	4.910959
1000	17	5	5.075754
1000	17	6	4.853715
1000	17	7	4.867832
1000	17	8	4.726629
1000	17	9	4.585544
1000	18	0	4.995959
1000	18	1	4.68839
1000	18	2	4.77756
1000	18	3	4.783358
1000	18	4	4.647774
1000	18	5	4.82726
1000	18	6	4.594571
1000	18	7	4.840365
1000	18	8	4.790429
1000	18	9	4.726191
1000	19	0	5.133131
1000	19	1	4.668675
1000	19	2	5.033026
1000	19	3	4.888418
1000	19	4	4.716634
1000	19	5	4.935646
1000	19	6	4.768605
1000	19	7	4.981018
1000	19	8	4.776062
1000	19	9	4.813756
1000	20	0	4.905979
1000	20	1	4.64273
1000	20	2	4.887108
1000	20	3	4.75502
1000	20	4	4.815432
1000	20	5	4.810246
1000	20	6	4.705904
1000	20	7	5.049471
1000	20	8	4.950419
1000	20	9	4.998623
1000	21	0	5.094417
1000	21	1	5.400595
1000	21	2	6.44597
1000	21	3	5.081143
1000	21	4	4.9454
1000	21	5	5.023834
1000	21	6	5.470216
1000	21	7	5.556744
1000	21	8	5.395709
1000	21	9	4.909121
1000	22	0	4.768082
1000	22	1	5.079843
1000	22	2	4.712477
1000	22	3	5.03967
1000	22	4	4.713024
1000	22	5	4.911963
1000	22	6	4.795628
1000	22	7	4.750674
1000	22	8	4.980769
1000	22	9	4.883846
1000	23	0	5.03279
1000	23	1	4.818272
1000	23	2	4.972028
1000	23	3	4.812827
1000	23	4	5.058493
1000	23	5	4.802176
1000	23	6	4.832884
1000	23	7	4.821308
1000	23	8	4.687314
1000	23	9	4.956173
1000	24	0	4.718918
1000	24	1	4.800703
1000	24	2	4.866765
1000	24	3	4.789196
1000	24	4	5.007683
1000	24	5	4.779961
1000	24	6	5.06155
1000	24	7	4.776777
1000	24	8	4.766694
1000	24	9	4.863431
1000	25	0	4.795277
1000	25	1	4.93427
1000	25	2	4.746259
1000	25	3	4.949782
1000	25	4	4.839996
1000	25	5	4.894904
1000	25	6	5.060016
1000	25	7	4.702267
1000	25	8	4.954335
1000	25	9	5.101848
1000	26	0	4.998833
1000	26	1	4.721481
1000	26	2	4.955876
1000	26	3	4.754156
1000	26	4	4.926649
1000	26	5	4.924279
1000	26	6	4.737643
1000	26	7	5.006103
1000	26	8	4.733629
1000	26	9	5.011189
1000	27	0	4.811866
1000	27	1	4.834433
1000	27	2	4.792738
1000	27	3	4.722731
1000	27	4	5.084255
1000	27	5	4.850612
1000	27	6	5.095325
1000	27	7	4.808491
1000	27	8	5.011175
1000	27	9	4.924271
1000	28	0	5.038566
1000	28	1	4.898345
1000	28	2	5.013247
1000	28	3	4.875171
1000	28	4	4.971759
1000	28	5	6.778175
1000	28	6	4.861982
1000	28	7	5.090378
1000	28	8	4.828657
1000	28	9	4.959269
1000	29	0	4.792265
1000	29	1	5.43999
1000	29	2	5.603286
1000	29	3	4.953352
1000	29	4	4.755575
1000	29	5	5.040311
1000	29	6	5.311285
1000	29	7	5.020776
1000	29	8	5.044355
1000	29	9	4.664728
1000	30	0	4.862532
1000	30	1	4.798338
1000	30	2	4.702863
1000	30	3	5.103267
1000	30	4	4.847906
1000	30	5	4.980563
1000	30	6	4.694029
1000	30	7	4.726303
1000	30	8	4.865491
1000	30	9	4.719203
1000	31	0	5.078221
1000	31	1	4.78257
1000	31	2	4.957821
1000	31	3	4.839952
1000	31	4	4.746544
1000	31	5	4.82138
1000	31	6	4.738463
1000	31	7	5.256487
1000	31	8	4.700608
1000	31	9	5.044344
1000	32	0	4.809493
1000	32	1	4.843434
1000	32	2	4.821742
1000	32	3	4.807493
1000	32	4	5.049622
1000	32	5	4.872505
1000	32	6	5.005132
1000	32	7	4.946983
1000	32	8	4.95625
1000	32	9	4.847533
1000	33	0	5.122406
1000	33	1	5.182502
1000	33	2	4.976853
1000	33	3	4.883291
1000	33	4	5.013879
1000	33	5	4.834847
1000	33	6	4.905005
1000	33	7	5.789838
1000	33	8	6.000399
1000	33	9	5.318392
1000	34	0	4.71623
1000	34	1	5.001075
1000	34	2	4.865485
1000	34	3	4.998373
1000	34	4	4.723144
1000	34	5	4.886968
1000	34	6	4.750084
1000	34	7	4.937044
1000	34	8	4.911786
1000	34	9	4.607691
1000	35	0	5.004505
1000	35	1	4.702436
1000	35	2	5.205709
1000	35	3	4.833178
1000	35	4	4.98129
1000	35	5	4.933557
1000	35	6	5.055904
1000	35	7	5.412582
1000	35	8	6.407655
1000	35	9	4.926982
1000	36	0	5.096647
1000	36	1	4.858264
1000	36	2	4.943063
1000	36	3	4.818695
1000	36	4	4.982618
1000	36	5	4.689211
1000	36	6	4.944139
1000	36	7	4.73962
1000	36	8	4.987625
1000	36	9	4.780467
1000	37	0	4.814128
1000	37	1	4.913106
1000	37	2	4.702934
1000	37	3	4.942988
1000	37	4	4.822109
1000	37	5	4.998694
1000	37	6	4.852294
1000	37	7	5.265796
1000	37	8	4.867292
1000	37	9	4.787774
1000	38	0	5.101955
1000	38	1	4.847823
1000	38	2	4.635239
1000	38	3	5.071696
1000	38	4	4.733793
1000	38	5	4.957993
1000	38	6	4.834993
1000	38	7	5.111168
1000	38	8	4.80136
1000	38	9	4.874819
1000	39	0	4.930894
1000	39	1	4.803277
1000	39	2	4.965769
1000	39	3	4.81088
1000	39	4	5.004407
1000	39	5	4.850551
1000	39	6	5.17048
1000	39	7	5.447974
1000	39	8	4.913157
1000	39	9	5.117728
1000	40	0	4.707662
1000	40	1	5.214061
1000	40	2	4.811409
1000	40	3	5.07577
1000	40	4	4.744291
1000	40	5	4.953101
1000	40	6	4.846486
1000	40	7	5.047168
1000	40	8	4.832631
1000	40	9	5.035862
1000	41	0	4.880506
1000	41	1	5.054693
1000	41	2	5.008466
1000	41	3	5.164556
1000	41	4	4.862007
1000	41	5	5.269357
1000	41	6	4.824013
1000	41	7	5.035546
1000	41	8	4.766373
1000	41	9	5.078609
1000	42	0	5.115293
1000	42	1	5.011344
1000	42	2	5.119801
1000	42	3	4.918326
1000	42	4	4.938902
1000	42	5	4.954537
1000	42	6	5.302426
1000	42	7	5.025324
1000	42	8	4.80482
1000	42	9	5.039635
1000	43	0	6.248683
1000	43	1	5.612245
1000	43	2	4.938559
1000	43	3	5.065477
1000	43	4	4.811313
1000	43	5	4.828137
1000	43	6	4.987993
1000	43	7	4.788453
1000	43	8	5.044083
1000	43	9	4.864573
1000	44	0	5.228179
1000	44	1	4.735322
1000	44	2	5.047989
1000	44	3	5.017271
1000	44	4	5.49587
1000	44	5	4.691041
1000	44	6	4.996131
1000	44	7	4.865296
1000	44	8	5.081066
1000	44	9	4.82298
1000	45	0	5.452123
1000	45	1	4.784403
1000	45	2	5.099232
1000	45	3	4.760762
1000	45	4	5.263489
1000	45	5	4.750687
1000	45	6	5.383527
1000	45	7	5.819458
1000	45	8	5.805257
1000	45	9	4.955664
1000	46	0	5.312277
1000	46	1	4.768468
1000	46	2	5.084909
1000	46	3	5.003143
1000	46	4	5.01955
1000	46	5	4.719814
1000	46	6	5.252927
1000	46	7	4.807449
1000	46	8	5.003774
1000	46	9	4.868916
1000	47	0	5.031192
1000	47	1	4.812443
1000	47	2	5.001355
1000	47	3	4.878617
1000	47	4	5.11455
1000	47	5	4.845905
1000	47	6	5.036825
1000	47	7	4.828878
1000	47	8	5.18715
1000	47	9	4.834372
1000	48	0	4.902854
1000	48	1	4.89718
1000	48	2	4.838778
1000	48	3	4.974016
1000	48	4	4.936435
1000	48	5	4.92887
1000	48	6	4.807423
1000	48	7	5.017439
1000	48	8	4.772791
1000	48	9	5.28072
1000	49	0	5.482212
1000	49	1	5.084838
1000	49	2	5.319996
1000	49	3	5.312969
1000	49	4	4.785032
1000	49	5	4.923397
1000	49	6	4.793928
1000	49	7	4.935217
1000	49	8	4.779464
1000	49	9	4.837363
1000	50	0	5.075488
1000	50	1	4.749241
1000	50	2	6.461476
1000	50	3	5.425089
1000	50	4	5.198438
1000	50	5	5.152534
1000	50	6	4.966031
1000	50	7	4.70718
1000	50	8	4.912603
1000	50	9	4.686545
1000	51	0	4.840192
1000	51	1	4.870423
1000	51	2	4.812743
1000	51	3	4.880148
1000	51	4	4.759149
1000	51	5	5.153336
1000	51	6	4.894003
1000	51	7	5.078092
1000	51	8	4.925716
1000	51	9	5.15171
1000	52	0	5.020735
1000	52	1	5.067562
1000	52	2	4.814068
1000	52	3	5.09474
1000	52	4	4.922351
1000	52	5	5.096795
1000	52	6	5.055724
1000	52	7	4.931891
1000	52	8	4.859695
1000	52	9	5.070599
1000	53	0	4.977504
1000	53	1	4.999446
1000	53	2	4.894143
1000	53	3	5.130951
1000	53	4	4.929375
1000	53	5	5.120957
1000	53	6	4.920453
1000	53	7	5.07093
1000	53	8	5.037765
1000	53	9	5.022177
1000	54	0	4.956122
1000	54	1	5.169609
1000	54	2	4.750088
1000	54	3	5.102941
1000	54	4	4.914521
1000	54	5	5.090373
1000	54	6	4.83237
1000	54	7	5.395191
1000	54	8	4.821606
1000	54	9	4.957048
1000	55	0	4.904297
1000	55	1	5.528865
1000	55	2	4.75702
1000	55	3	5.040262
1000	55	4	4.797781
1000	55	5	5.033951
1000	55	6	4.884419
1000	55	7	5.04474
1000	55	8	4.939834
1000	55	9	5.15084
1000	56	0	4.967915
1000	56	1	4.975574
1000	56	2	4.901133
1000	56	3	5.08859
1000	56	4	4.988352
1000	56	5	5.186907
1000	56	6	4.882575
1000	56	7	5.01429
1000	56	8	5.083
1000	56	9	4.991965
1000	57	0	4.902788
1000	57	1	4.916397
1000	57	2	4.930311
1000	57	3	5.131571
1000	57	4	5.965939
1000	57	5	6.501323
1000	57	6	5.904462
1000	57	7	6.0119
1000	57	8	4.997486
1000	57	9	5.013496
1000	58	0	4.781401
1000	58	1	4.954169
1000	58	2	4.813924
1000	58	3	5.093266
1000	58	4	4.839325
1000	58	5	4.860088
1000	58	6	4.806315
1000	58	7	4.758433
1000	58	8	5.163498
