length	corrupt	iteration	seconds
100000	21	1	9.311032
100000	21	2	9.39581
100000	21	3	9.226393
100000	21	4	9.47273
100000	21	5	9.22607
100000	21	6	9.282673
100000	21	7	9.031222
100000	21	8	9.281267
100000	21	9	9.178993
100000	22	0	11.523202
100000	22	1	9.707986
100000	22	2	9.881538
100000	22	3	9.725328
100000	22	4	9.687762
100000	22	5	10.045011
100000	22	6	9.478624
100000	22	7	9.614845
100000	22	8	9.87885
100000	22	9	9.497404
100000	23	0	9.46958
100000	23	1	9.660216
100000	23	2	9.607734
100000	23	3	9.452926
100000	23	4	9.583314
100000	23	5	9.665076
100000	23	6	9.952651
100000	23	7	9.905913
100000	23	8	10.234371
100000	23	9	11.65812
100000	24	0	9.895792
100000	24	1	10.67916
100000	24	2	9.632881
100000	24	3	9.582687
100000	24	4	9.930811
100000	24	5	9.340922
100000	24	6	9.821418
100000	24	7	9.563209
100000	24	8	9.695595
100000	24	9	10.174649
100000	25	0	10.018042
100000	25	1	10.323156
100000	25	2	9.756877
100000	25	3	9.363517
100000	25	4	9.570961
100000	25	5	9.903446
100000	25	6	11.759136
100000	25	7	9.923358
100000	25	8	9.881587
100000	25	9	9.975739
100000	26	0	9.630091
100000	26	1	10.429492
100000	26	2	10.669455
100000	26	3	9.44488
100000	26	4	10.162773
100000	26	5	10.011603
100000	26	6	10.606998
100000	26	7	10.149543
100000	26	8	10.638909
100000	26	9	9.829495
100000	27	0	10.319059
100000	27	1	10.284179
100000	27	2	10.213903
100000	27	3	10.094545
100000	27	4	10.051688
100000	27	5	12.209731
100000	27	6	9.947967
100000	27	7	10.155845
100000	27	8	9.822314
100000	27	9	9.903548
100000	28	0	10.830939
100000	28	1	11.963103
100000	28	2	10.41696
100000	28	3	10.266296
100000	28	4	9.883877
100000	28	5	10.557299
100000	28	6	10.308045
100000	28	7	10.542953
100000	28	8	10.06056
100000	28	9	9.892926
100000	29	0	11.514473
100000	29	1	11.305427
100000	29	2	10.592981
100000	29	3	10.353158
100000	29	4	10.139139
100000	29	5	10.524702
100000	29	6	10.901566
100000	29	7	10.478804
100000	29	8	10.370407
100000	29	9	10.34544
100000	30	0	10.508346
100000	30	1	10.479233
100000	30	2	10.490998
100000	30	3	10.382568
100000	30	4	10.360674
100000	30	5	10.450403
100000	30	6	10.513962
100000	30	7	10.601718
100000	30	8	10.776127
100000	30	9	10.961426
100000	31	0	12.674513
100000	31	1	11.891731
100000	31	2	10.825282
100000	31	3	10.336519
100000	31	4	10.298445
100000	31	5	10.842192
100000	31	6	10.351685
100000	31	7	10.674825
100000	31	8	10.840013
100000	31	9	10.620207
100000	32	0	10.788637
100000	32	1	10.617216
100000	32	2	10.272217
100000	32	3	10.992818
100000	32	4	10.708351
100000	32	5	10.809572
100000	32	6	10.591312
100000	32	7	10.925119
100000	32	8	10.842708
100000	32	9	10.513217
100000	33	0	11.300115
100000	33	1	11.034318
100000	33	2	10.958387
100000	33	3	11.152149
100000	33	4	10.941779
100000	33	5	11.244629
100000	33	6	10.989033
100000	33	7	12.809444
100000	33	8	10.987056
100000	33	9	11.551713
100000	34	0	11.311645
100000	34	1	10.962726
100000	34	2	11.165827
100000	34	3	12.95249
100000	34	4	10.931318
100000	34	5	11.291938
100000	34	6	13.107923
100000	34	7	10.900189
100000	34	8	11.191288
100000	34	9	10.7526
100000	35	0	10.980994
100000	35	1	11.438768
100000	35	2	10.831881
100000	35	3	11.385391
100000	35	4	11.082539
100000	35	5	11.35745
100000	35	6	11.586194
100000	35	7	10.943268
100000	35	8	11.349339
100000	35	9	11.660691
100000	36	0	11.527563
100000	36	1	11.697651
100000	36	2	11.328215
100000	36	3	11.57549
100000	36	4	11.371248
100000	36	5	11.334896
100000	36	6	11.261021
100000	36	7	11.266995
100000	36	8	11.273454
100000	36	9	11.040239
100000	37	0	12.14815
100000	37	1	11.286861
100000	37	2	11.249006
100000	37	3	11.300924
100000	37	4	11.897235
100000	37	5	13.137419
100000	37	6	11.34615
100000	37	7	11.744807
100000	37	8	11.383469
100000	37	9	11.067451
100000	38	0	11.520707
100000	38	1	11.33281
100000	38	2	11.399978
100000	38	3	11.164335
100000	38	4	11.40632
100000	38	5	11.560082
100000	38	6	11.536956
100000	38	7	11.350377
100000	38	8	11.537002
100000	38	9	12.798684
100000	39	0	11.708407
100000	39	1	11.636208
100000	39	2	11.014395
100000	39	3	11.509848
100000	39	4	11.036243
100000	39	5	11.304138
100000	39	6	11.433816
100000	39	7	11.34684
100000	39	8	10.857508
100000	39	9	11.237879
100000	40	0	11.77484
100000	40	1	11.640744
100000	40	2	11.555092
100000	40	3	11.960913
100000	40	4	12.136781
100000	40	5	11.450323
100000	40	6	12.95957
100000	40	7	11.880265
100000	40	8	12.23426
100000	40	9	11.902584
